state_abbrev,year,earthquake_count,max_magnitude,log_seismic_energy
WY,2012,120,4.5,16.59596383883437
MT,2012,13,3.51,13.894107767541621
CA,2012,94,6.3,21.888835499430595
OK,2012,34,4.1,15.295315089129538
CO,2012,13,4.3,16.05333586098204
OR,2012,9,3.7,13.776619987261803
TN,2012,2,3.3,11.701468216730344
IL,2012,1,3.6,12.43396348323163
KY,2012,1,4.2,14.506286587049598
UT,2012,14,4.18,14.993195481076002
NV,2012,21,4.2,15.577561089090775
AR,2012,2,3.9,13.588700139650024
NM,2012,4,3.6,13.387053986714948
NE,2012,1,3.6,12.43396348323163
ME,2012,1,4.67,16.129608675278593
ID,2012,6,3.4,12.726723493955285
TX,2012,11,4.8,16.6823490566593
ND,2012,1,3.3,11.397807430442121
WA,2012,7,3.57,13.51001866510936
IN,2012,2,3.1,11.242325142717824
VA,2012,3,3.2,11.845015759640278
MO,2012,1,3.9,13.470124206551713
SD,2012,1,3.0,10.361664540749818
AZ,2012,1,3.2,11.052424295177753
WA,2013,19,4.27,15.37432820584031
ID,2013,11,3.9,14.427440029691757
WY,2013,140,4.8,17.330342468661858
OK,2013,103,4.5,16.897241392827617
CA,2013,128,5.69,19.844441088275623
MT,2013,24,3.58,14.336310983158326
TX,2013,17,4.3,16.009530449317744
NV,2013,36,5.1,17.79786374679577
KS,2013,2,3.8,13.288408738376331
SD,2013,1,3.5,12.08857736161618
OH,2013,2,3.5,12.392239613626796
IL,2013,1,3.2,11.052424295177753
UT,2013,7,3.9,14.331708714972013
CO,2013,4,3.9,13.837644759868276
TN,2013,1,3.3,11.397807430442121
NM,2013,5,3.4,12.685198748852349
AR,2013,4,3.7,13.414577971503741
AZ,2013,2,3.5,12.262988547328346
MN,2013,2,3.3,11.701468216730344
VA,2013,1,3.4,11.743191917520432
OR,2013,3,3.13,11.633296901459195
OK,2014,582,4.4,18.233402408274323
ID,2014,31,4.8,17.060677543853142
WY,2014,175,4.83,17.516535883236358
CA,2014,239,6.02,20.89977961729679
UT,2014,14,4.15,15.460904307591708
CO,2014,15,4.3,15.266414996040405
KS,2014,42,4.9,17.196895793438713
OR,2014,5,3.83,13.664653384457505
MT,2014,28,3.9,15.373665319922942
NC,2014,1,3.0,10.361664540749818
AZ,2014,31,5.3,18.47233214555145
TX,2014,9,3.4,13.406343792912073
AL,2014,1,3.8,13.124737025326382
NV,2014,34,3.9,15.542319959439666
ME,2014,1,3.2,11.052424295177753
WA,2014,6,3.98,14.168645497868885
MN,2014,1,3.0,10.361664540749818
AR,2014,1,3.8,13.124737025326382
VA,2014,1,3.1,10.70704306938311
MO,2014,1,3.1,10.70704306938311
TN,2014,1,3.1,10.70704306938311
SC,2014,3,4.1,14.204699998257741
NM,2014,2,3.3,12.090949000957005
NY,2014,2,2.46,9.123101701706526
SD,2014,1,3.0,10.361664540749818
OK,2015,881,4.7,18.931354703123272
WY,2015,206,3.8,16.900220174237887
CA,2015,211,5.72,20.09804346742848
CO,2015,14,4.6,16.426419047538996
AZ,2015,10,4.0,14.503934724928046
NV,2015,51,5.3,18.59930752467472
MT,2015,18,3.5,14.007298986967646
TX,2015,22,4.0,15.072738232697025
ID,2015,37,5.0,17.447351260163927
WA,2015,10,4.2,15.415558951266192
MO,2015,6,3.6,13.298059131389659
NE,2015,3,3.6,12.907709862054173
KS,2015,61,4.1,16.06131082418006
NM,2015,7,3.9,13.783290160991115
TN,2015,2,3.5,12.26859724195307
UT,2015,4,4.09,14.264979675215606
OR,2015,3,4.14,14.43362882059194
MI,2015,2,4.2,14.549986041064418
AL,2015,3,3.5,12.489931950138393
MS,2015,3,3.2,11.969180295513778
IL,2015,1,3.4,11.743191917520432
CT,2015,1,3.3,11.397807430442121
WY,2016,153,4.8,17.35779574312523
OK,2016,638,5.8,20.34851156955343
NV,2016,52,5.6,20.368280358787725
CA,2016,116,5.09,18.737657772290994
NM,2016,2,4.2,14.591661253742323
KS,2016,23,3.5,14.478373391422203
TX,2016,9,3.6,13.826488762914531
AZ,2016,5,3.5,12.971686453375991
WA,2016,10,3.69,13.866145569243898
MT,2016,24,4.34,16.11966526895856
OR,2016,5,3.55,12.94556365830335
UT,2016,7,4.24,15.245728970871106
